Date,New Users,New Active Users,Referral Coupons Used,Standard Coupons Used,First-Time Orders,Recurrent Orders,Cancelled Orders,Completed Orders,On-Time Completed Orders,Late Completed Orders
2015-04-10,0,0,0,0,0,0,0,0,0,0
2015-04-11,0,0,0,0,0,0,0,0,0,0
2015-04-12,0,0,0,0,0,0,0,0,0,0
2015-04-13,0,0,0,0,0,0,0,0,0,0
2015-04-14,0,0,0,0,0,0,0,0,0,0
2015-04-15,0,0,0,0,0,0,0,0,0,0
2015-04-16,0,0,0,0,0,0,0,0,0,0
2015-04-17,0,0,0,0,0,0,0,0,0,0
2015-04-18,0,0,0,0,0,0,0,0,0,0
2015-04-19,0,0,0,0,0,0,0,0,0,0
2015-04-20,0,0,0,0,0,0,0,0,0,0
2015-04-21,0,0,0,0,0,0,0,0,0,0
2015-04-22,0,0,0,0,0,0,0,0,0,0
2015-04-23,0,0,0,0,0,0,0,0,0,0
2015-04-24,0,0,0,0,0,0,0,0,0,0
2015-04-25,0,0,0,0,0,0,0,0,0,0
2015-04-26,0,0,0,0,0,0,0,0,0,0
2015-04-27,0,0,0,0,0,0,0,0,0,0
2015-04-28,0,0,0,0,0,0,0,0,0,0
2015-04-29,1,0,0,0,0,0,0,0,0,0
2015-04-30,0,0,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0,0,0,0,0
2015-05-04,0,0,0,0,0,0,0,0,0,0
2015-05-05,1,0,0,0,0,0,0,0,0,0
2015-05-06,0,0,0,0,0,0,0,0,0,0
2015-05-07,2,0,0,0,0,0,0,0,0,0
2015-05-08,0,0,0,0,0,0,0,0,0,0
2015-05-09,0,0,0,0,0,0,0,0,0,0
2015-05-10,0,0,0,0,0,0,0,0,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0
2015-05-13,0,0,0,0,0,0,0,0,0,0
2015-05-14,0,0,0,0,0,0,0,0,0,0
2015-05-15,0,0,0,0,0,0,0,0,0,0
2015-05-16,0,0,0,0,0,0,0,0,0,0
2015-05-17,0,0,0,0,0,0,0,0,0,0
2015-05-18,0,0,0,0,0,0,0,0,0,0
2015-05-19,0,0,1,0,0,1,1,0,0,0
2015-05-20,0,0,0,0,0,0,0,0,0,0
2015-05-21,0,0,0,0,0,0,0,0,0,0
2015-05-22,0,0,0,0,0,0,0,0,0,0
2015-05-23,0,0,0,0,0,0,0,0,0,0
2015-05-24,0,0,0,0,0,0,0,0,0,0
2015-05-25,0,0,0,0,0,0,0,0,0,0
2015-05-26,0,0,0,0,0,0,0,0,0,0
2015-05-27,0,0,0,0,0,0,0,0,0,0
2015-05-28,0,0,0,0,0,0,0,0,0,0
2015-05-29,0,0,0,0,0,0,0,0,0,0
2015-05-30,0,0,0,0,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0
2015-06-02,0,0,0,0,0,0,0,0,0,0
2015-06-03,0,0,0,0,0,0,0,0,0,0
2015-06-04,0,0,0,0,0,0,0,0,0,0
2015-06-05,0,0,0,0,0,0,0,0,0,0
2015-06-06,0,0,0,0,0,0,0,0,0,0
2015-06-07,0,0,0,0,0,0,0,0,0,0
2015-06-08,8,0,0,0,0,0,0,0,0,0
2015-06-09,0,0,0,0,0,0,0,0,0,0
2015-06-10,1,0,0,0,0,0,0,0,0,0
2015-06-11,0,0,0,0,0,0,0,0,0,0
2015-06-12,0,0,0,0,0,0,0,0,0,0
2015-06-13,0,0,0,0,0,0,0,0,0,0
2015-06-14,0,0,0,0,0,0,0,0,0,0
2015-06-15,0,0,0,0,0,0,0,0,0,0
2015-06-16,0,0,0,0,0,0,0,0,0,0
2015-06-17,0,0,0,0,0,0,0,0,0,0
2015-06-18,0,0,0,0,0,0,0,0,0,0
2015-06-19,0,0,0,0,0,0,0,0,0,0
2015-06-20,1,0,0,0,0,0,0,0,0,0
2015-06-21,2,0,0,0,0,0,0,0,0,0
2015-06-22,0,0,0,0,0,0,0,0,0,0
2015-06-23,2,0,0,0,0,0,0,0,0,0
2015-06-24,2,1,0,1,1,0,0,1,1,0
2015-06-25,0,0,0,0,0,0,0,0,0,0
2015-06-26,1,0,0,0,0,0,0,0,0,0
2015-06-27,0,0,0,0,0,0,0,0,0,0
2015-06-28,0,0,0,0,0,0,0,0,0,0
2015-06-29,0,0,0,0,0,0,0,0,0,0
2015-06-30,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0
2015-07-02,1,0,0,0,0,0,0,0,0,0
2015-07-03,0,0,0,0,0,0,0,0,0,0
2015-07-04,0,0,0,0,0,0,0,0,0,0
2015-07-05,0,0,0,0,0,0,0,0,0,0
2015-07-06,0,0,0,0,0,0,0,0,0,0
2015-07-07,0,0,0,0,0,0,0,0,0,0
2015-07-08,0,0,0,0,0,0,0,0,0,0
2015-07-09,6,0,0,0,0,0,0,0,0,0
2015-07-10,0,0,0,0,0,0,0,0,0,0
2015-07-11,0,0,0,0,0,0,0,0,0,0
2015-07-12,0,0,0,0,0,0,0,0,0,0
2015-07-13,0,0,0,0,0,0,0,0,0,0
2015-07-14,0,0,0,0,0,0,0,0,0,0
2015-07-15,0,0,0,0,0,0,0,0,0,0
2015-07-16,0,0,0,0,0,0,0,0,0,0
2015-07-17,1,0,14,0,0,14,0,14,13,1
2015-07-18,1,0,5,0,0,5,0,5,2,3
2015-07-19,0,0,0,0,0,0,0,0,0,0
2015-07-20,0,0,2,0,0,2,0,2,1,1
2015-07-21,0,0,0,0,0,0,0,0,0,0
2015-07-22,0,0,0,0,0,0,0,0,0,0
2015-07-23,1,0,5,0,0,5,4,1,1,0
2015-07-24,0,0,0,0,0,0,0,0,0,0
2015-07-25,0,0,7,0,0,7,7,0,0,0
2015-07-26,0,0,0,0,0,0,0,0,0,0
2015-07-27,0,0,0,0,0,0,0,0,0,0
2015-07-28,0,0,0,0,0,0,0,0,0,0
2015-07-29,0,0,0,0,0,0,0,0,0,0
2015-07-30,1,0,0,0,0,0,0,0,0,0
2015-07-31,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0
2015-08-02,0,0,0,0,0,0,0,0,0,0
2015-08-03,0,0,0,0,0,0,0,0,0,0
2015-08-04,4,3,4,0,3,1,0,4,4,0
2015-08-05,0,0,0,0,0,0,0,0,0,0
2015-08-06,7,0,2,0,0,2,0,0,0,0
2015-08-07,1,0,1,0,0,1,0,0,0,0
2015-08-08,0,0,0,0,0,0,0,0,0,0
2015-08-09,0,0,0,0,0,0,0,0,0,0
2015-08-10,0,0,0,0,0,0,0,0,0,0
